key,en
1_YEAR_LABEL,1y
2_YEAR_LABEL,2y
3_YEAR_LABEL,3y
ACTION_DOWNLOAD_RESULT,Download result
ACTION_GENERATE_AND_DOWNLOAD_REPORT,Generate and download report
ACTION_GENERATE_AND_DOWNLOAD_REPORT_SELECTOR,Select report
ACTION_RELEASE,Validate indicator
ACTION_RELEASE_DISABLED_NORELEASABLE,The indicator cannot be released due to gaps in data
ACTION_RELEASE_DISABLED_YETRELEASED,The indicator is already released
ACTION_STAGING,Compute indicator
ACTION_UNRELEASE,Unvalidate indicator
ACTION_UPDATE,Update indicator
ACTION_VIEW,Show/hide result
ACTIONBUTTON_LABEL_TEST_VALIDITY,Test file validity
AGE_SELECTOR_LABEL,Age range :
ALL_YEAR_LABEL,all
ANNUAL_CATCH_AVERAGE,Annual catch average
ARTFISH_EXPLORER_LOADER_INIT_MESSAGE,Starting computation...
ARTFISH_EXPLORER_LOADER_LOADING_MESSAGE,Please wait while estimates are computed
ARTFISH_EXPLORER_LOADER_TITLE,Computing Artfish estimates
ARTFISH_LINECHART_LABEL_LEVELS,Level
ARTFISH_LINECHART_LABEL_PLOT,Plot
ARTFISH_LINECHART_LABEL_STATISTICS,Statistics
ARTFISH_LINECHART_LEVEL_LABEL_DETAIL,Detail
ARTFISH_LINECHART_LEVEL_LABEL_GLOBAL,Global
ARTFISH_LINECHART_RANK_LABEL,Display x most caught
ARTFISH_LINECHART_RANK_LABEL_ANNUAL_CATCH_AVERAGE,Annual catch average
ARTFISH_LINECHART_RANK_LABEL_LAST_YEAR_TOTAL_CATCH,Last year total catch
ARTFISH_LINECHART_RANK_LABEL_TOTAL_CATCH_OVER_THE_PERIOD,Total catch over the period
ARTFISH_LINECHART_SELECT_INPUT_TITLE_RANK_METHOD,Rank method
ARTFISH_LINECHART_X_LABEL_TITLE,Time
ARTISANAL_VALIDATION_FILEINPUT_LABEL_TITLE,Import a data file
ARTISANAL_VALIDATION_MESSAGE,"Error has occured during upload, Please check the logbook i.e (column names, trip_#'s) and upload again!"
ARTISANAL_VALIDATION_TITLE,Validate Artisanal data
AVAILABLE_VARIABLES,Unselected variables
AVERAGE,Average
BACK_TO_LIST_OF_INDIVIDUALS,Back to list of individuals
BACK_TO_LIST_OF_REPORTS,Back to list of reports
BACK_TO_LIST_OF_VESSELS,<< Back to list of vessels
BEAM,Beam (m)
BREAKDOWN_OF_TOTAL_QUANTITIES_LANDINGSITE_SPICIES_YEAR_DATA_EXPORT_FILENAME,species_quantities_by_landingsite
BREAKDOWN_OF_TOTAL_QUANTITIES_LANDINGSITE_SPICIES_YEAR_PDF_TITLE,Species quantities by landing site
